  
 Results from TRNSYS Input File: 
 C:\Users\gawa\Desktop\Course in DTU\47330 energy storage and conversion\Lectur
 es\Lecture 08\47330SDHCal\47330-MarstalSunstore4.trd                          
                                                                               
                                                                   
 Initiated at time: 2019-11-28 AT  14:37:20
 TIME                    	Power_port_1             	Power_port_2             	Power_port_3             	Power_port_4             	Power_port_5             	Power_hx_1               	Power_hx_2               	Power_hx_3               	Heatloss_whole           	Heatloss_bot             	Heatloss_top             	Energy_change            	Mean_temperature         	Max_T                    	Min_T                    	Tambient                 	
 HOURS              	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ                  	C                   	C                   	C                   	C                   	
  +8.7940000000000000E+03	  -1.2089537044864628E+07	  -2.0392735181031642E+06	  +0.0000000000000000E+00	  -9.4603339119327793E+03	  +1.4302526352392063E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.6461376987066178E+04	  -8.7648171935276987E+03	  -1.5386874331282641E+04	  +2.4982266934197912E+08	  +5.8609022470789910E+01	  +7.3336793030968678E+01	  +4.2578362558312122E+01	  +1.8671432733535767E+00	
  +8.7950000000000000E+03	  -1.2083758870390510E+07	  -2.0462532090035824E+06	  +0.0000000000000000E+00	  -9.4614375353358519E+03	  +1.4294059718209496E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.4200995040645757E+04	  -8.2769204590541958E+03	  -1.4899512937736838E+04	  +2.4992675702135879E+08	  +5.8620942312836867E+01	  +7.3341913552789563E+01	  +4.2580996504381510E+01	  +4.1359820365905762E+00	
  +8.7960000000000000E+03	  -1.2058096981473867E+07	  -2.0432463581646483E+06	  +8.0640536877871130E+05	  -9.5892428096293734E+03	  +1.3189602384440610E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.2790299099488679E+04	  -8.0259562198247258E+03	  -1.4578193993982844E+04	  +2.4991194890387776E+08	  +5.8619246526914473E+01	  +7.3320151360444768E+01	  +4.2886021025368429E+01	  +5.6066966056823730E+00	
  +8.7970000000000000E+03	  -1.2124973093773961E+07	  -1.9676672488837210E+06	  +7.6840696735852154E+05	  -9.6961218813361138E+03	  +1.2431086771217372E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.2400364029302495E+04	  -7.9961595560307524E+03	  -1.4480001019006722E+04	  +2.4933087353962639E+08	  +5.8552703333709161E+01	  +7.3257542397799583E+01	  +4.3141102342090960E+01	  +6.0001788139343262E+00	
  +8.7980000000000000E+03	  -1.2216515336830743E+07	  -1.8563342635922160E+06	  +1.5127736085086861E+06	  +3.3491481506968813E+05	  +1.1041812956716791E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.1926692311570441E+04	  -7.9902625249977373E+03	  -1.4352733552973870E+04	  +2.4827711990568793E+08	  +5.8432030292021523E+01	  +7.3143726340718743E+01	  +4.3591033170414406E+01	  +6.4775004386901855E+00	
  +8.7990000000000000E+03	  -1.2419793633644694E+07	  -1.6831149283744199E+06	  +0.0000000000000000E+00	  -9.8012803418700878E+03	  +1.1654667806042958E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.1724311508705774E+04	  -7.9458141812906943E+03	  -1.4324200417027940E+04	  +2.4635819765215296E+08	  +5.8212280459007246E+01	  +7.3018694035304534E+01	  +4.3392077188234097E+01	  +6.4850001335144043E+00	
  +8.8000000000000000E+03	  -1.2523166906326797E+07	  -1.6022652618456960E+06	  +0.0000000000000000E+00	  -9.5506706686664438E+03	  +1.3580307643037081E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.2553740242294793E+04	  -8.0474077479920152E+03	  -1.4544202728811350E+04	  +2.4480253560478646E+08	  +5.8034130211124257E+01	  +7.2970570550908931E+01	  +4.2793963409705121E+01	  +5.4149999618530273E+00	
  +8.8010000000000000E+03	  -1.2470619605050465E+07	  -1.6382752836805489E+06	  +0.0000000000000000E+00	  -9.4797636396472953E+03	  +1.4217811814949652E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.3018268237527351E+04	  -8.1218495568296221E+03	  -1.4659191429578994E+04	  +2.4452417608281225E+08	  +5.8002253224779928E+01	  +7.2989675402055212E+01	  +4.2624734223501896E+01	  +4.9000000953674316E+00	
  +8.8020000000000000E+03	  -1.2433941761141360E+07	  -1.6711781505634121E+06	  +0.0000000000000000E+00	  -9.4539046165460895E+03	  +1.4376601863740172E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.3219231421466247E+04	  -8.1516211065435582E+03	  -1.4708140285072901E+04	  +2.4465237507353979E+08	  +5.8016934229574716E+01	  +7.3017034973638459E+01	  +4.2563018177914294E+01	  +4.6999998092651367E+00	
  +8.8030000000000000E+03	  -1.2381805505418582E+07	  -1.6951781095520677E+06	  +0.0000000000000000E+00	  -9.4434667283652016E+03	  +1.4447290433271082E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.3435938157519166E+04	  -8.1893163091096876E+03	  -1.4756416874248334E+04	  +2.4491081039415875E+08	  +5.8046529549784481E+01	  +7.3041272449059903E+01	  +4.2538106750274949E+01	  +4.5000000000000000E+00	
