HourUTC;HourDK;PriceArea;TotalLoad;OnshoreWindPower;OffshoreWindPower;ExchangeContinent;ExchangeGreatBelt;ExchangeNordicCountries
12-11-18 22.00;12-11-18 23.00;DK1;2030.76;535.67;131.87;-934.00;-94.00;1908.00
12-11-18 23.00;13-11-18 00.00;DK1;1913.44;683.57;152.15;-827.00;-62.00;1466.00
13-11-18 00.00;13-11-18 01.00;DK1;1893.30;785.77;174.36;-565.00;-301.00;1243.00
13-11-18 01.00;13-11-18 02.00;DK1;1852.12;767.80;180.55;-335.00;-240.00;1000.00
13-11-18 02.00;13-11-18 03.00;DK1;1850.76;794.64;197.60;-217.00;-279.00;868.00
13-11-18 03.00;13-11-18 04.00;DK1;1874.99;838.72;257.18;-238.00;-289.00;858.00
13-11-18 04.00;13-11-18 05.00;DK1;2036.83;943.47;258.77;-613.00;-558.00;1155.00
13-11-18 05.00;13-11-18 06.00;DK1;2481.40;941.73;257.64;-703.00;-584.00;1877.00
13-11-18 06.00;13-11-18 07.00;DK1;2859.12;887.99;267.25;-572.00;-586.00;1828.00
13-11-18 07.00;13-11-18 08.00;DK1;2901.74;909.40;395.22;-206.00;-590.00;1585.00
13-11-18 08.00;13-11-18 09.00;DK1;2903.54;1012.61;467.39;-114.00;-590.00;1239.00
13-11-18 09.00;13-11-18 10.00;DK1;3000.19;1019.00;538.17;323.00;-590.00;835.00
13-11-18 10.00;13-11-18 11.00;DK1;2971.57;1090.11;615.55;381.00;-590.00;628.00
13-11-18 11.00;13-11-18 12.00;DK1;2928.21;1108.51;626.77;466.00;-590.00;371.00
13-11-18 12.00;13-11-18 13.00;DK1;2919.05;1166.21;619.25;995.00;-585.00;-131.00
13-11-18 13.00;13-11-18 14.00;DK1;2901.80;1169.77;613.07;893.00;-587.00;-152.00
13-11-18 14.00;13-11-18 15.00;DK1;2846.38;987.75;442.64;986.00;-585.00;249.00
13-11-18 15.00;13-11-18 16.00;DK1;2945.32;806.46;395.07;966.00;-587.00;589.00
13-11-18 16.00;13-11-18 17.00;DK1;3094.99;914.64;522.66;457.00;-590.00;975.00
13-11-18 17.00;13-11-18 18.00;DK1;2937.84;869.22;561.34;525.00;-590.00;978.00
13-11-18 18.00;13-11-18 19.00;DK1;2743.17;921.34;569.96;506.00;-573.00;688.00
13-11-18 19.00;13-11-18 20.00;DK1;2566.56;845.82;521.53;582.00;-501.00;695.00
13-11-18 20.00;13-11-18 21.00;DK1;2457.78;713.51;327.62;701.00;-548.00;960.00
13-11-18 21.00;13-11-18 22.00;DK1;2235.06;751.13;317.36;714.00;-334.00;512.00
13-11-18 22.00;13-11-18 23.00;DK1;2066.00;768.49;514.20;701.00;-360.00;153.00
13-11-18 23.00;14-11-18 00.00;DK1;1929.11;870.27;435.86;876.00;-402.00;-349.00
14-11-18 00.00;14-11-18 01.00;DK1;1849.14;724.48;386.63;586.00;-328.00;62.00
14-11-18 01.00;14-11-18 02.00;DK1;1824.27;659.44;316.37;147.00;-370.00;610.00
14-11-18 02.00;14-11-18 03.00;DK1;1823.96;560.86;365.38;-345.00;-181.00;806.00
14-11-18 03.00;14-11-18 04.00;DK1;1916.66;527.11;351.39;-502.00;-120.00;1255.00
14-11-18 04.00;14-11-18 05.00;DK1;2045.98;508.69;234.26;-723.00;-109.00;1376.00
14-11-18 05.00;14-11-18 06.00;DK1;2439.82;475.94;193.15;-849.00;-202.00;1795.00
14-11-18 06.00;14-11-18 07.00;DK1;2841.87;431.07;192.45;-761.00;-462.00;1931.00
